Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,99.999%,100%
GET,/RBMpredict?userID=1,8002,0,300.0,351.1623087241571,11.696100234985352,1834.8007202148438,257.0,46.41889255456678,0.0,300,400,470,520,700,820,1000,1200,1700,1800,1800,1800
,Aggregated,8002,0,300.0,351.1623087241571,11.696100234985352,1834.8007202148438,257.0,46.41889255456678,0.0,300,400,470,520,700,820,1000,1200,1700,1800,1800,1800
