Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,99.999%,100%
GET,/SARpredict?userID=1,7726,0,3100.0,3775.609854123705,40.73047637939453,16586.676120758057,263.0,17.634042896534783,0.0,3100,3600,3900,4200,5800,10000,13000,13000,15000,17000,17000,17000
,Aggregated,7726,0,3100.0,3775.609854123705,40.73047637939453,16586.676120758057,263.0,17.634042896534783,0.0,3100,3600,3900,4200,5800,10000,13000,13000,15000,17000,17000,17000
