household_key,tot_spend,coup_user,COUPON_UPC
1,4330.159999999964,yes,5
2,1954.3400000000045,no,0
3,2653.209999999992,no,0
4,1200.1100000000006,no,0
5,779.0600000000003,no,0
6,5996.159999999947,no,0
7,3400.0499999999797,no,0
8,5534.969999999942,yes,1
9,797.420000000001,no,0
10,234.34,no,0
11,33.39,no,0
12,266.2099999999999,no,0
13,13190.919999999956,yes,21
14,2761.189999999999,yes,3
15,972.5300000000005,no,0
16,1512.0200000000018,no,0
17,5139.629999999968,no,0
18,7118.909999999938,yes,8
19,11299.609999999926,yes,1
20,7486.109999999958,no,0
21,870.1100000000002,no,0
22,6256.039999999956,yes,25
23,3158.5799999999854,no,0
24,1911.1100000000058,no,0
25,3149.649999999993,no,0
26,1937.3900000000028,no,0
27,5736.239999999942,no,0
28,2119.6200000000026,no,0
29,1343.0300000000022,yes,1
30,622.8000000000003,no,0
31,4396.899999999988,yes,2
32,3381.819999999979,no,0
33,1200.740000000001,no,0
34,407.38,no,0
35,1119.51,no,0
36,4898.249999999969,no,0
37,2976.659999999997,no,0
38,706.1300000000001,no,0
39,5033.659999999946,no,0
40,12907.88999999986,yes,14
41,3107.129999999982,no,0
42,1985.8600000000038,no,0
43,884.8400000000015,no,0
44,877.7600000000001,no,0
45,807.0899999999998,no,0
46,8433.429999999895,yes,2
47,2329.1299999999997,no,0
48,1172.8300000000013,no,0
49,6445.029999999949,no,0
50,351.39000000000016,no,0
51,3046.8599999999856,no,0
52,5487.2799999999415,no,0
53,1962.2600000000039,no,0
54,103.09000000000002,no,0
55,1072.7900000000006,no,0
56,6691.529999999927,yes,2
57,3105.8699999999885,no,0
58,10367.07999999992,yes,7
59,1688.3300000000008,no,0
60,400.94000000000005,no,0
61,183.79999999999995,no,0
62,359.2899999999997,no,0
63,589.6000000000003,no,0
64,3917.8099999999913,no,0
65,2042.1700000000044,no,0
66,395.95000000000016,no,0
67,9618.899999999912,yes,33
68,4960.769999999972,yes,1
69,5704.339999999947,no,0
70,76.39999999999999,no,0
71,3376.0299999999893,no,0
72,6473.429999999909,no,0
73,2864.1799999999903,no,0
74,2047.6400000000028,no,0
75,1167.0900000000013,no,0
76,315.94000000000017,no,0
77,6227.0999999999485,yes,1
78,2505.139999999994,no,0
79,3950.1199999999817,yes,1
80,3002.0899999999933,yes,1
81,5553.6999999999625,no,0
82,566.5100000000001,no,0
83,1183.7400000000007,no,0
84,1208.0900000000015,no,0
85,4696.4899999999625,no,0
86,4019.439999999983,no,0
87,1202.3000000000006,no,0
88,11615.65999999995,yes,7
89,177.56000000000006,no,0
90,490.4100000000001,no,0
91,2899.6599999999967,no,0
92,1587.380000000003,no,0
93,3346.7199999999875,yes,8
94,442.64000000000027,no,0
95,6500.179999999968,no,0
96,1182.4300000000007,no,0
97,5323.949999999978,no,0
98,2547.2999999999984,no,0
99,6926.149999999966,yes,4
100,2294.620000000001,no,0
101,6651.579999999985,yes,5
102,304.84000000000003,no,0
103,541.9900000000001,no,0
104,6546.739999999967,yes,4
105,4591.66999999997,yes,8
106,2014.6600000000037,no,0
107,1222.8300000000006,no,0
108,2671.159999999994,no,0
109,3501.069999999974,no,0
110,3461.319999999985,no,0
111,1515.650000000001,no,0
112,1342.650000000001,no,0
113,15324.949999999939,yes,2
114,3315.6299999999815,no,0
115,13262.099999999851,yes,19
116,647.7200000000005,no,0
117,2568.2099999999996,yes,7
118,4526.209999999961,no,0
119,2593.009999999995,no,0
120,242.32000000000005,no,0
121,2225.5800000000054,no,0
122,2354.22,no,0
123,3222.649999999986,no,0
124,683.4100000000004,no,0
125,10601.499999999935,yes,2
126,853.4500000000005,no,0
127,4658.229999999972,yes,4
128,1381.0800000000024,no,0
129,475.73,no,0
