household_key,BASKET_ID,coup_user,COUPON_UPC
388,58,no,0
389,271,yes,23
390,108,no,0
391,49,no,0
392,104,no,0
393,180,yes,1
394,65,no,0
395,68,no,0
396,107,no,0
397,248,yes,7
398,125,no,0
399,17,no,0
400,310,yes,4
401,96,no,0
402,80,no,0
403,46,no,0
404,240,no,0
405,98,no,0
406,45,no,0
407,52,no,0
408,56,no,0
409,135,no,0
410,129,no,0
411,158,no,0
412,112,yes,4
413,284,yes,2
414,153,no,0
415,16,no,0
416,29,no,0
417,84,no,0
418,256,no,0
419,46,no,0
420,99,no,0
421,194,yes,1
422,20,no,0
423,14,no,0
424,24,no,0
425,151,no,0
426,228,yes,11
427,53,no,0
428,95,no,0
429,43,no,0
430,107,no,0
431,36,no,0
432,257,no,0
433,76,no,0
434,117,no,0
435,93,no,0
436,30,no,0
437,90,yes,2
438,67,yes,2
439,38,no,0
440,6,no,0
441,76,no,0
442,214,no,0
443,103,yes,2
444,44,no,0
445,232,no,0
446,30,no,0
447,136,no,0
448,45,no,0
449,34,no,0
450,65,no,0
451,161,no,0
452,26,no,0
453,34,no,0
454,356,yes,1
455,25,no,0
456,94,no,0
457,78,no,0
458,127,yes,4
459,67,no,0
460,113,yes,1
461,39,no,0
462,97,no,0
463,587,yes,1
464,173,yes,10
465,44,no,0
466,17,no,0
467,145,no,0
468,334,no,0
469,165,yes,5
470,156,no,0
471,51,no,0
472,96,yes,11
473,70,yes,3
474,36,no,0
475,41,no,0
476,29,no,0
477,65,no,0
478,20,no,0
479,185,no,0
480,92,no,0
481,49,no,0
482,61,no,0
483,98,no,0
484,137,yes,2
485,162,yes,2
486,29,no,0
487,9,no,0
488,20,no,0
489,212,no,0
490,80,yes,7
491,124,no,0
492,117,yes,3
493,196,no,0
494,1,no,0
495,73,no,0
496,13,no,0
497,63,no,0
498,58,no,0
499,70,no,0
500,5,no,0
501,22,no,0
502,57,no,0
503,151,yes,3
504,7,no,0
505,18,no,0
506,32,no,0
507,66,no,0
508,55,no,0
509,16,no,0
510,346,no,0
511,373,no,0
512,25,no,0
513,161,no,0
514,66,no,0
515,47,no,0
516,17,no,0
517,105,no,0
518,153,yes,5
519,32,no,0
520,112,no,0
521,53,no,0
522,3,no,0
523,277,yes,1
524,72,no,0
525,40,no,0
526,183,no,0
527,130,no,0
528,17,no,0
529,56,no,0
530,53,no,0
531,40,no,0
532,23,no,0
533,64,no,0
534,465,no,0
535,34,no,0
536,87,no,0
537,45,no,0
538,69,no,0
539,65,no,0
540,93,no,0
541,47,no,0
542,123,no,0
543,104,no,0
544,131,no,0
545,56,yes,7
546,122,yes,2
547,55,no,0
548,93,no,0
549,98,no,0
550,39,no,0
551,52,no,0
552,44,no,0
553,265,no,0
554,21,no,0
555,21,no,0
556,15,no,0
557,29,no,0
558,115,no,0
559,27,no,0
560,326,yes,3
561,26,no,0
562,79,no,0
563,72,no,0
564,52,no,0
565,21,no,0
566,146,no,0
567,254,no,0
568,180,no,0
569,102,no,0
570,35,no,0
571,16,no,0
572,45,no,0
573,102,yes,3
574,120,yes,25
575,356,no,0
576,167,no,0
577,39,yes,1
578,117,no,0
579,23,no,0
580,98,no,0
581,146,yes,1
582,142,no,0
583,156,no,0
584,56,no,0
585,42,no,0
586,211,no,0
587,27,no,0
588,262,yes,22
589,17,no,0
590,134,no,0
591,325,no,0
592,34,no,0
593,57,no,0
594,104,no,0
595,146,no,0
596,113,yes,1
597,100,no,0
598,213,no,0
599,5,no,0
600,166,yes,5
601,79,no,0
602,53,no,0
603,182,no,0
604,56,no,0
605,128,yes,8
606,97,no,0
607,216,no,0
608,217,no,0
609,162,no,0
610,24,no,0
611,73,no,0
612,144,no,0
613,11,no,0
614,122,no,0
615,24,no,0
616,10,no,0
617,27,no,0
618,544,no,0
619,5,no,0
620,19,no,0
621,142,no,0
622,147,no,0
623,124,no,0
624,160,no,0
625,34,no,0
626,25,no,0
627,45,no,0
628,18,no,0
629,27,no,0
630,206,yes,7
631,483,yes,1
632,94,no,0
633,167,no,0
634,35,no,0
635,34,no,0
636,227,yes,4
637,113,no,0
638,164,no,0
639,79,no,0
640,92,no,0
641,355,yes,1
642,64,no,0
643,31,no,0
644,214,no,0
645,49,no,0
646,41,no,0
647,129,yes,4
648,73,no,0
649,55,no,0
650,78,yes,1
651,8,no,0
652,48,no,0
653,228,no,0
654,146,no,0
655,61,no,0
656,95,no,0
657,20,no,0
658,49,no,0
659,32,no,0
660,168,no,0
661,394,no,0
662,39,no,0
663,105,no,0
664,31,no,0
665,39,no,0
666,100,no,0
667,66,no,0
668,57,no,0
669,119,no,0
670,192,no,0
671,127,no,0
672,121,no,0
673,50,no,0
674,139,no,0
675,223,no,0
676,376,no,0
677,45,no,0
678,57,no,0
679,262,yes,4
680,96,yes,2
681,66,yes,3
682,217,no,0
683,9,no,0
684,107,no,0
685,201,no,0
686,21,no,0
687,69,yes,5
688,28,no,0
689,3,no,0
690,273,no,0
691,54,no,0
692,124,yes,3
693,209,no,0
694,154,no,0
695,226,no,0
696,326,yes,4
697,62,no,0
698,127,no,0
699,150,yes,1
700,39,no,0
701,39,no,0
702,276,yes,4
703,219,yes,5
704,9,no,0
705,93,no,0
706,133,no,0
707,498,no,0
708,68,no,0
709,156,yes,1
710,229,no,0
711,36,no,0
712,256,yes,10
713,24,no,0
714,294,no,0
715,178,yes,1
716,81,yes,2
717,51,no,0
718,599,yes,5
719,34,no,0
720,86,no,0
721,46,no,0
722,136,no,0
723,23,no,0
724,26,no,0
725,133,yes,5
726,71,no,0
727,118,no,0
728,475,no,0
729,32,no,0
730,92,no,0
731,233,no,0
732,104,no,0
733,76,no,0
734,76,no,0
735,92,no,0
736,60,no,0
737,52,no,0
738,101,no,0
739,6,no,0
740,113,yes,2
741,88,no,0
742,328,no,0
743,71,no,0
744,158,no,0
745,180,yes,2
746,39,no,0
747,136,no,0
748,84,no,0
749,77,no,0
750,49,no,0
751,27,no,0
752,106,no,0
753,50,no,0
754,32,no,0
755,307,yes,12
756,24,no,0
757,40,no,0
758,17,no,0
759,41,no,0
760,70,no,0
761,178,yes,11
762,886,no,0
763,40,no,0
764,112,yes,3
765,30,no,0
766,122,yes,1
767,13,no,0
768,466,yes,3
769,46,no,0
770,43,no,0
771,497,yes,3
772,42,no,0
773,22,no,0
774,16,no,0
775,33,no,0
776,72,no,0
777,40,no,0
778,123,no,0
779,86,no,0
780,67,no,0
781,57,no,0
782,70,no,0
783,17,no,0
784,134,no,0
785,103,no,0
786,204,no,0
787,190,no,0
788,295,yes,10
789,26,no,0
790,58,no,0
791,21,no,0
792,23,no,0
793,107,yes,2
794,32,no,0
795,45,no,0
796,50,no,0
797,92,no,0
798,54,no,0
799,68,no,0
800,443,no,0
801,29,no,0
802,59,no,0
803,65,no,0
804,221,no,0
805,304,yes,10
806,125,no,0
807,123,yes,5
808,206,no,0
809,57,no,0
810,37,no,0
811,39,no,0
812,93,no,0
813,33,no,0
814,23,no,0
815,47,no,0
816,106,no,0
817,147,no,0
818,52,no,0
819,6,no,0
820,208,no,0
821,17,no,0
822,42,no,0
823,117,no,0
824,57,no,0
825,242,yes,13
826,26,no,0
827,20,no,0
828,37,no,0
829,32,no,0
830,231,no,0
831,166,no,0
832,14,no,0
833,34,no,0
834,28,no,0
835,17,no,0
836,75,no,0
837,36,no,0
838,32,no,0
839,10,no,0
840,214,yes,1
841,157,no,0
842,506,no,0
843,74,no,0
844,141,no,0
845,117,yes,3
846,34,no,0
847,53,no,0
848,29,no,0
849,62,no,0
850,97,no,0
851,21,no,0
852,95,no,0
853,516,no,0
854,36,no,0
855,216,no,0
856,182,no,0
857,43,no,0
858,42,no,0
859,194,no,0
860,52,no,0
861,34,no,0
862,71,no,0
863,146,no,0
864,109,yes,12
865,35,no,0
866,136,no,0
867,182,yes,6
868,162,no,0
869,130,no,0
870,12,no,0
871,132,no,0
872,9,no,0
873,113,no,0
874,5,no,0
875,68,no,0
876,200,no,0
877,63,yes,10
878,181,yes,2
879,96,no,0
880,12,no,0
881,139,no,0
882,240,no,0
883,352,yes,4
884,70,no,0
885,87,no,0
886,198,no,0
887,48,no,0
888,79,yes,12
889,216,yes,23
890,31,no,0
891,113,no,0
892,22,no,0
893,111,no,0
894,31,no,0
