STORE_ID,mailer,SALES_VALUE
286,0,22434.940000000177
286,A,65827.59999999523
286,C,1715.4500000000069
286,D,45046.54999999855
286,F,8917.469999999832
286,H,7714.069999999934
286,J,1090.0899999999986
286,L,974.3100000000006
286,X,1163.6800000000023
286,Z,50.53999999999999
288,0,92298.64000000825
288,A,205220.53000000984
288,C,5002.71000000001
288,D,129167.76000000405
288,F,15893.879999999821
288,H,24637.72000000054
288,J,3365.77000000001
288,L,3405.889999999998
288,P,53.440000000000005
288,X,3305.9400000000164
288,Z,116.39999999999993
289,0,166483.64999998914
289,A,255766.44999998875
289,C,5119.6500000000015
289,D,162036.07000001898
289,F,24352.630000000718
289,H,32195.730000001186
289,J,3820.739999999991
289,L,4373.159999999972
289,X,3157.469999999995
289,Z,149.63000000000005
292,0,606066.0599996854
292,A,633680.8499998576
292,C,13446.809999999983
292,D,358997.4600000492
292,F,67955.35999999546
292,H,74335.0699999984
292,J,9432.799999999936
292,L,10078.34999999988
292,X,9122.439999999899
292,Z,547.5200000000007
293,0,92532.36000000234
293,A,221909.18999999703
293,C,4537.10000000002
293,D,132108.85000001627
293,F,18784.040000000132
293,H,25185.03000000075
293,J,3290.79
293,L,4280.389999999988
293,X,3361.4699999999953
293,Z,208.83
295,0,145095.49000000083
295,A,234243.88999999865
295,C,5134.199999999955
295,D,153347.74000001265
295,F,23275.68000000038
295,H,29400.420000000704
295,J,4016.269999999996
295,L,3967.7199999999875
295,X,3863.8100000000145
295,Z,123.29999999999995
296,0,190247.8800000087
296,A,295916.7099999762
296,C,7837.079999999897
296,D,164621.760000011
296,F,28202.710000000836
296,H,32832.37000000097
296,J,5106.280000000005
296,L,6295.209999999949
296,X,4671.349999999982
296,Z,866.6800000000005
297,0,208726.4799999985
297,A,195271.6399999942
297,C,3977.369999999986
297,D,102338.13000000585
297,F,12611.679999999753
297,H,23757.05000000065
297,J,3042.120000000009
297,L,2148.4400000000064
297,X,2212.350000000012
297,Z,196.36999999999986
298,0,152523.39999999554
298,A,334066.460000043
298,C,7585.979999999948
298,D,197408.7700000322
298,F,43619.870000001276
298,H,37735.09000000035
298,J,6076.959999999941
298,L,5228.059999999974
298,X,4941.360000000005
298,Z,395.5
299,0,150886.07000001756
299,A,162011.46999999657
299,C,3729.0099999999793
299,D,82826.89999999627
299,F,26106.74000000089
299,H,16966.189999999933
299,J,2550.670000000004
299,L,2739.3499999999954
299,X,1913.3900000000037
299,Z,214.57000000000005
300,0,165886.800000019
300,A,191277.48000000638
300,C,4807.279999999979
300,D,106441.26999999765
300,F,14663.139999999748
300,H,20131.59000000017
300,J,3574.8199999999983
300,L,3340.139999999992
300,X,2071.6299999999983
300,Z,82.11999999999998
304,0,267296.6599999433
304,A,344231.5100000498
304,C,6694.109999999907
304,D,158198.6900000149
304,F,38871.87000000066
304,H,38441.1099999999
304,J,5210.559999999982
304,L,6492.68999999996
304,P,16.99
304,X,3799.520000000004
304,Z,420.40000000000015
306,0,142782.67000001
306,A,272301.5299999887
306,C,5775.529999999952
306,D,181324.13000001272
306,F,26313.790000000194
306,H,34691.830000000686
306,J,3687.5800000000095
306,L,4489.429999999987
306,X,4504.320000000013
306,Z,297.05999999999995
309,0,145626.32000001363
309,A,160337.80000000595
309,C,3459.5899999999933
309,D,92043.1800000008
309,F,19609.710000000592
309,H,18411.590000000066
309,J,2255.179999999999
309,L,2759.909999999998
309,X,3280.9800000000137
309,Z,198.79000000000002
310,0,258366.9799999465
310,A,282386.1999999944
310,C,7025.650000000018
310,D,165189.0200000076
310,F,24602.970000000463
310,H,34273.93000000094
310,J,4584.030000000001
310,L,4883.219999999977
310,X,2799.479999999993
310,Z,138.18999999999997
311,0,176769.18999998743
311,A,298656.8899999663
311,C,6513.579999999987
311,D,191477.4800000168
311,F,24381.070000000702
311,H,36618.66000000062
