,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,holidays,holidays_lower,holidays_upper,playoff,playoff_lower,playoff_upper,superbowl,superbowl_lower,superbowl_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
1825,2020-01-01,76.25442552633372,53.690567115208445,82.56736205832023,76.25442552633372,76.25442552633372,-8.424337355940395,-8.424337355940395,-8.424337355940395,16.93328988668432,16.93328988668432,16.93328988668432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.099146511218819,-4.099146511218819,-4.099146511218819,-21.258480731405893,-21.258480731405893,-21.258480731405893,0.0,0.0,0.0,67.83008817039332
1826,2020-01-02,76.26816100741891,47.26594438212385,76.75322097490078,76.26816100741891,76.26816100741891,-14.478109528849414,-14.478109528849414,-14.478109528849414,16.93328988668432,16.93328988668432,16.93328988668432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.204509355022967,-10.204509355022967,-10.204509355022967,-21.206890060510762,-21.206890060510762,-21.206890060510762,0.0,0.0,0.0,61.790051478569495
1827,2020-01-03,76.28189648850412,49.80013227324532,80.698366725578,76.28189648850412,76.28189648850412,-10.93644422550162,-10.93644422550162,-10.93644422550162,16.93328988668432,16.93328988668432,16.93328988668432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.6763916258462395,-6.6763916258462395,-6.6763916258462395,-21.193342486339688,-21.193342486339688,-21.193342486339688,0.0,0.0,0.0,65.3454522630025
1828,2020-01-04,76.29563196958934,55.34330943739546,85.87727496245172,76.29563196958934,76.29563196958934,-6.5385096397405045,-6.5385096397405045,-6.5385096397405045,16.93328988668432,16.93328988668432,16.93328988668432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.256324551037631,-2.256324551037631,-2.256324551037631,-21.21547497538719,-21.21547497538719,-21.21547497538719,0.0,0.0,0.0,69.75712232984883
1829,2020-01-05,76.30936745067454,59.09319026569533,89.83400276759842,76.30936745067454,76.30936745067454,-2.0112671644269575,-2.0112671644269575,-2.0112671644269575,16.93328988668432,16.93328988668432,16.93328988668432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.325364473744219,2.325364473744219,2.325364473744219,-21.26992152485549,-21.26992152485549,-21.26992152485549,0.0,0.0,0.0,74.29810028624759
1830,2020-01-06,76.32310293175975,64.7822597911075,93.8725170278037,76.32310293175975,76.32310293175975,3.5597270160610783,3.5597270160610783,3.5597270160610783,16.93328988668432,16.93328988668432,16.93328988668432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.978901781755021,7.978901781755021,7.978901781755021,-21.352464652378263,-21.352464652378263,-21.352464652378263,0.0,0.0,0.0,79.88282994782082
1831,2020-01-07,76.33683841284494,70.49598970731671,100.73689777463677,76.33683841284494,76.33683841284494,8.407194512890818,8.407194512890818,8.407194512890818,16.93328988668432,16.93328988668432,16.93328988668432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.932105787643561,12.932105787643561,12.932105787643561,-21.458201161437064,-21.458201161437064,-21.458201161437064,0.0,0.0,0.0,84.74403292573575
1832,2020-01-08,76.35057389393016,52.59785940057456,82.49671913873009,76.35057389393016,76.35057389393016,-8.747573789898185,-8.747573789898185,-8.747573789898185,16.93328988668432,16.93328988668432,16.93328988668432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.099146511234959,-4.099146511234959,-4.099146511234959,-21.581717165347545,-21.581717165347545,-21.581717165347545,0.0,0.0,0.0,67.60300010403198
1833,2020-01-09,76.36430937501537,45.70214057447263,76.86226351817989,76.36430937501537,76.36430937501537,-14.988486753346347,-14.988486753346347,-14.988486753346347,16.93328988668432,16.93328988668432,16.93328988668432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.204509355025877,-10.204509355025877,-10.204509355025877,-21.717267285004787,-21.717267285004787,-21.717267285004787,0.0,0.0,0.0,61.375822621669016
1834,2020-01-10,76.37804485610057,49.29797629676526,79.5904553120337,76.37804485610057,76.37804485610057,-11.602054748003944,-11.602054748003944,-11.602054748003944,16.93328988668432,16.93328988668432,16.93328988668432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.676391625880338,-6.676391625880338,-6.676391625880338,-21.85895300880792,-21.85895300880792,-21.85895300880792,0.0,0.0,0.0,64.77599010809664
1835,2020-01-11,76.39178033718578,55.390610178548705,84.03134635972857,76.39178033718578,76.39178033718578,-7.323930076069697,-7.323930076069697,-7.323930076069697,16.93328988668432,16.93328988668432,16.93328988668432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.256324551026148,-2.256324551026148,-2.256324551026148,-22.000895411727864,-22.000895411727864,-22.000895411727864,0.0,0.0,0.0,69.06785026111608
1836,2020-01-12,76.40551581827098,58.09059271482309,88.82300277255462,76.40551581827098,76.40551581827098,-2.8787434047659004,-2.8787434047659004,-2.8787434047659004,16.93328988668432,16.93328988668432,16.93328988668432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3253644737611903,2.3253644737611903,2.3253644737611903,-22.137397765211407,-22.137397765211407,-22.137397765211407,0.0,0.0,0.0,73.52677241350509
